latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count
40.777597,-73.92011463,1,0,0,5,1,3,3,4,110,5,0,1,1125,0,0,0,138,2,100,10,10,10,10,10,10,1
40.63131646,-74.08799089,1,1,1,2,1.5,1,1,4,47,1,25,1,1125,0,2,32,307,10,100,10,10,10,10,9,9,1
40.76498131,-73.91951332,1,0,1,2,1,1,1,4,85,1,30,3,600,30,60,90,365,2,100,10,10,10,10,10,10,13
40.76695833,-73.98751957,1,0,0,2,1,0,1,4,175,1,0,1,1125,3,5,35,310,3,93,9,9,9,9,10,9,1
40.67257778,-73.97216991,1,0,0,4,1,1,2,4,135,2,25,7,27,0,0,0,141,1,100,10,10,10,10,10,10,1
40.7114803,-73.95573261,1,0,1,2,1,1,1,4,100,1,5,2,90,3,33,63,338,86,84,8,8,9,9,9,8,2
40.74142145,-74.00253787,1,0,0,2,1,1,1,4,350,1,0,2,10,30,60,90,365,10,100,10,9,10,10,10,9,1
40.71614499,-73.94458508,1,0,1,1,1,1,1,4,175,1,10,1,60,0,0,0,238,4,90,9,8,9,9,10,9,3
40.63613027,-73.94520099,1,0,1,5,1,1,3,4,135,1,15,3,90,4,8,38,313,2,90,10,10,10,10,8,10,4
40.79740553,-73.96252739,1,0,1,2,1,1,1,4,120,1,15,1,14,30,60,90,365,38,93,9,9,9,10,9,9,1
40.68193862,-73.92895554,1,1,0,6,1,2,3,4,139,4,25,2,30,19,35,64,287,45,95,10,9,10,10,9,10,1
40.72897345,-73.98013837,1,0,1,2,1,1,1,4,120,1,0,2,1125,20,50,80,111,7,97,10,10,10,10,10,10,1
40.73491872,-73.97752332,1,0,0,4,1,1,1,4,159,2,20,3,1125,2,2,2,120,14,90,9,8,9,9,10,9,1
40.67643575,-73.99862261,1,0,1,2,1,1,2,4,94,1,20,2,14,25,55,85,360,2,90,10,10,10,10,8,9,1
40.72351247,-73.98283066,1,0,0,4,1.5,2,2,4,299,2,75,2,40,29,59,89,364,11,98,10,9,10,10,10,10,1
40.74553121,-73.97503096,1,0,0,5,1,2,3,4,220,4,10,1,1125,7,26,55,321,9,80,8,8,9,9,9,8,8
40.75556503,-73.93188411,1,0,1,2,1,1,1,4,70,1,30,3,1125,30,60,90,365,3,84,9,9,9,9,7,8,13
40.76740215,-73.96934014,1,0,0,2,1,1,1,4,250,1,0,3,1125,30,60,90,365,3,93,9,9,10,10,9,9,1
40.70248791,-73.94879931,1,0,0,4,1,1,2,4,139,3,45,2,30,6,14,40,234,68,95,10,10,9,10,8,10,1
40.68191034,-73.97982134,1,0,0,2,1,1,1,4,159,1,0,1,10,21,51,81,134,12,92,9,8,9,10,9,9,1
40.71901717,-73.9980196,1,4,1,6,1,1,3,4,175,2,25,3,1125,29,59,89,364,7,89,7,9,9,9,9,9,1
40.75173507,-73.88129137,0,1,1,2,1,1,3,4,85,1,25,2,1125,25,55,85,360,1,100,10,10,10,10,2,4,1
40.61136952,-73.96919212,1,0,1,2,1,1,1,4,70,1,15,1,1125,29,59,89,364,2,90,10,10,10,10,9,9,1
40.71002111,-73.93072853,1,2,1,4,1,1,2,4,85,1,25,3,90,28,37,67,328,44,91,9,9,9,9,9,9,2
40.71316796,-73.94851074,1,0,0,4,1,2,4,4,225,2,35,3,180,26,48,78,331,19,96,9,10,10,10,10,9,1
